"Country","RowID","Age","Gender","Kids","Education","WrkStatus","Income","Occupation","YearsInPos","MnthsInPos","CommSize","MaritalStat","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcrast","OthrProcrast","DPMean","AIPMean","GPMean","SWLSMean","OccupatnAlt","EducationAlt","HDICategory","HDI"
"India",1066,32.5,"Male","Yes","ma","Full-Time",35000,"Software Pro","2",0,"Large-City","Married",NA,0,4,3,3,2,2,2,3,4,3,3,4,3,4,3,4,3,3,2,3,4,4,4,4,4,2,2,2,2,2,2,3,4,2,3,4,3,2,3,2,3,3,3,4,4,2,"Yes","Yes",2.4,3.07,2.9,3.4,"IT SOFTWARE PROFESSIONAL","Masters","Medium","0.624"
"India",1067,21,"Male","No","ltuni","Student",10000,"0","0",0,"Small City","Single",0,0,3,4,3,2,2,1,1,1,4,4,5,2,2,3,3,3,1,2,1,2,4,1,1,1,1,1,2,2,2,1,5,3,1,2,1,2,1,4,5,3,3,3,3,4,3,"Yes","No",2.4,2.33,2.1,3.2,"*MISSING*","Left University","Medium","0.624"
"India",1068,32.5,"Male","Yes","ma","Full-Time",55000,"Marketing","1",0,"Large-City","Married",NA,1,5,5,3,3,3,4,2,5,2,4,4,4,3,3,3,5,3,2,2,4,4,4,4,4,4,2,4,4,5,1,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,"Yes","Yes",3.4,3.27,3.6,3.6,"MARKETING","Masters","Medium","0.624"
"India",1069,28,"Male","No","ma","Student",NA,"please specify","3",0,"Medium-Sized","Single",0,0,3,2,4,3,2,1,3,3,3,3,1,3,3,2,2,2,3,4,3,2,3,2,3,3,3,3,3,4,2,2,3,2,3,3,2,2,1,2,3,2,3,4,3,3,4,"No","No",2.4,2.53,2.55,3,"*MISSING*","Masters","Medium","0.624"
"India",1070,37.5,"Female","No","ma","Unemployed",10000,"0","0",0,"Large-City","Single",0,0,4,4,4,4,3,2,3,2,4,4,4,5,3,4,4,3,3,3,4,5,5,4,2,3,5,2,4,4,4,5,2,5,2,3,4,3,3,4,4,4,2,2,2,3,1,"Yes","Yes",3.2,3.4,3.65,2.6,"*MISSING*","Masters","Medium","0.624"
"India",1071,32.5,"Male","Yes","ma","Full-Time",10000,"teacher","6",2,"Large-City","Married",0,1,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,2,2,2,4,4,4,4,2,2,4,2,4,2,4,4,2,4,2,2,2,4,4,2,4,2,2,2,2,2,2,"Yes","Yes",3.4,3.07,3.1,2,"TEACHER","Masters","Medium","0.624"
"India",1072,28,"Female","No","phd","Full-Time",67500,"attorney","4",0,"Large-City","Single",0,0,3,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,3,5,2,4,5,5,5,5,5,5,5,5,1,5,5,4,4,4,4,4,"Yes","Yes",2,4.8,4.2,4.2,"ATTORNEY","PhD","Medium","0.624"
"India",1073,45,"Male","Yes","ma","Full-Time",45000,"director","17",0,"Large-City","Married",NA,0,2,4,4,3,2,2,2,5,3,3,2,5,4,2,3,2,2,4,3,3,4,2,3,2,4,1,4,4,5,3,2,4,4,5,4,5,3,4,3,3,3,4,4,4,3,"Yes","Yes",2.6,2.93,3.45,3.6,"DIRECTOR","Masters","Medium","0.624"
"India",1074,28,"Male","No","ma","Full-Time",25000,"IT","4",0,"Large-City","Single",0,0,5,5,5,5,5,4,1,5,5,3,5,5,4,4,4,4,2,3,4,5,5,2,3,5,5,2,4,4,5,3,3,3,4,4,5,1,3,4,5,5,1,3,2,3,3,"Yes","Yes",4,3.87,3.75,2.8,"IT","Masters","Medium","0.624"
"India",1075,25,"Female","No","ma","Full-Time",10000,"consultant","1",11,"Large-City","Single",0,0,4,4,2,4,4,3,3,4,4,4,4,4,2,3,4,3,5,4,3,4,4,4,3,5,4,4,4,3,5,3,2,3,2,2,3,3,2,4,3,4,3,3,2,2,2,"Yes","Yes",2.8,3.6,3.35,2.8,"CONSULTANT","Masters","Medium","0.624"
"India",1076,28,"Male","No","deg","Full-Time",10000,"tax consultant","4",6,"Large-City","Single",0,0,5,5,5,5,5,1,1,1,5,2,3,3,1,1,1,5,1,4,1,3,4,1,3,4,5,3,3,5,5,1,5,2,1,2,3,3,1,4,5,5,2,2,2,2,2,"Yes","Yes",4,2.33,3.15,2.6,"TAX CONSULTANT","Degree","Medium","0.624"
"India",1077,28,"Male","No","phd","Student",10000,"Research Scholar","4",8,"Medium-Sized","Single",0,0,4,4,2,4,4,3,1,3,2,3,4,1,3,2,2,2,3,3,1,4,4,1,2,5,1,1,2,2,4,1,4,4,2,3,3,2,2,3,4,4,4,3,4,4,3,"Yes","No",2.8,2.47,2.7,3.8,"RESEARCH SCHOLAR","PhD","Medium","0.624"
"India",1078,55,"Female","No","phd","Full-Time",10000,"lecturer","28",0,"Large Town","Divorced",0,0,2,3,3,3,2,4,4,3,3,3,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,3,3,2,3,3,3,2,2,3,3,3,2,2,2,2,2,"*Missing*","0",2.2,3,2.75,2.2,"PROFESSOR","PhD","Medium","0.624"
"India",1079,23,"Male","No","ma","*Missing*",NA,"","0",0,"*Missing*","Single",0,0,4,5,3,2,2,2,2,3,4,3,3,3,2,3,4,4,2,2,2,4,4,2,3,3,1,2,4,1,5,3,3,4,2,3,1,2,4,5,5,5,2,4,4,4,1,"Yes","No",2.8,2.73,3.05,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1080,45,"Male","Yes","phd","Full-Time",150000,"","7",0,"Village","Married",NA,1,3,2,2,2,2,4,2,5,2,3,4,3,4,3,3,4,3,4,2,3,3,4,5,5,3,3,3,3,3,3,4,5,4,5,4,5,4,4,2,5,4,4,4,5,2,"Yes","Yes",2,3.2,3.75,4.4,"*MISSING*","PhD","Medium","0.624"
"India",1081,45,"Male","Yes","ltuni","Full-Time",NA,"","0",0,"Village","Married",NA,0,4,4,4,4,4,2,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,2,5,3,4,2,5,2,4,5,4,5,1,5,4,3,3,4,5,4,3,3,1,4,2,"Yes","Yes",3.2,4,3.7,3,"*MISSING*","Left University","Medium","0.624"
"India",1082,37.5,"Male","No","ma","Full-Time",10000,"","12",11,"Rural/Country","Married",0,0,5,5,5,3,3,2,2,2,4,4,5,5,5,5,5,3,3,4,2,4,3,4,4,4,4,1,4,2,4,4,2,4,3,2,4,4,4,2,4,4,3,3,2,3,2,"Yes","Yes",3.6,3.6,3.35,3,"*MISSING*","Masters","Medium","0.624"
"India",1083,28,"Male","No","ma","Student",NA,"","0",0,"Village","Single",0,0,3,3,3,3,3,3,2,2,3,3,3,4,4,2,4,3,3,3,2,3,3,2,2,2,3,3,3,3,3,2,2,3,4,2,4,3,3,3,4,3,1,1,1,1,1,"Yes","Yes",2.4,2.93,2.85,1.4,"*MISSING*","Masters","Medium","0.624"
"India",1084,28,"Male","No","ma","Full-Time",67500,"","4",0,"Village","Married",0,0,2,3,1,2,2,2,2,2,2,3,3,3,2,3,4,2,2,2,2,3,3,3,2,4,4,4,3,2,2,1,2,3,2,3,3,2,2,3,4,3,2,4,4,2,2,"Yes","No",1.6,2.4,2.75,3,"*MISSING*","Masters","Medium","0.624"
"India",1085,28,"Male","No","deg","Unemployed",10000,"","2",1,"Village","Married",0,0,5,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,2,4,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,1,1,3,4,"Yes","Yes",4,4.73,4.5,2.2,"*MISSING*","Degree","Medium","0.624"
"India",1086,45,"Female","No","phd","Full-Time",67500,"","2",0,"Village","Single",0,0,5,3,2,2,2,2,2,3,3,3,2,2,2,3,3,4,1,3,2,2,4,3,2,5,4,2,4,2,5,2,3,4,3,2,3,5,5,5,4,3,3,4,4,4,3,"Yes","No",2.4,2.47,3.45,3.6,"*MISSING*","PhD","Medium","0.624"
"India",1087,23,"Female","No","ma","Student",NA,"","0",0,"Village","Single",0,0,4,5,4,2,2,3,2,5,4,3,3,4,3,5,2,3,4,4,3,1,2,1,2,5,3,2,2,3,2,2,1,1,3,4,3,3,4,2,5,4,2,2,1,4,1,"Yes","No",3,3.33,2.55,2.6,"*MISSING*","Masters","Medium","0.624"
"India",1088,25,"Male","No","ma","Full-Time",10000,"","0",6,"Village","Single",0,0,4,5,4,5,5,1,1,1,1,1,5,1,2,2,4,2,2,1,1,5,4,4,3,1,1,1,5,5,5,2,4,2,3,3,2,3,2,5,1,2,1,1,1,1,1,"Yes","No",3.6,2,3.05,1.2,"*MISSING*","Masters","Medium","0.624"
"India",1089,45,"Male","Yes","deg","Part-Time",10000,"","5",3,"Village","Married",0,2,5,5,5,5,5,2,2,2,4,4,5,4,2,4,5,1,3,2,3,5,5,5,2,2,5,3,5,1,5,4,1,5,2,5,4,5,5,5,5,5,2,2,1,2,1,"Yes","Yes",4.4,3.2,3.95,2.4,"*MISSING*","Degree","Medium","0.624"
"India",1090,19,"Male","No","ltuni","Student",NA,"","2",0,"Village","Single",0,0,3,5,5,3,3,2,3,2,4,4,5,5,3,5,4,2,3,4,4,5,4,1,1,1,1,1,3,2,4,2,2,3,2,3,3,4,4,4,4,4,1,2,1,1,1,"Yes","Yes",3.2,3.53,2.7,1.8,"*MISSING*","Left University","Medium","0.624"
"India",1091,28,"Female","No","ma","Full-Time",10000,"","4",0,"Village","Married",0,0,3,4,2,2,2,3,3,3,3,2,2,3,3,4,3,3,4,5,3,2,3,2,3,3,1,3,4,3,2,2,3,3,2,3,4,2,2,3,2,2,2,2,2,2,1,"Yes","No",2.2,3.07,2.6,2,"*MISSING*","Masters","Medium","0.624"
"India",1092,28,"Male","No","deg","Full-Time",10000,"","0",7,"Village","Single",0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,1,1,1,1,1,"Yes","Yes",4,3.13,3.2,1,"*MISSING*","Degree","Medium","0.624"
"India",1093,28,"Female","No","ma","Full-Time",150000,"","3",7,"Village","Married",0,0,3,3,3,2,2,4,1,1,3,4,4,4,3,3,3,4,2,3,1,3,4,1,2,2,4,4,4,4,4,2,3,4,4,4,4,2,4,4,4,4,4,5,4,4,5,"Yes","No",2.2,2.8,3.35,4.2,"*MISSING*","Masters","Medium","0.624"
"India",1094,21,"Male","No","ma","Student",NA,"","0",0,"Rural/Country","Single",0,0,2,2,2,3,1,4,5,4,2,1,2,2,5,1,1,4,5,5,2,3,4,4,5,5,2,3,2,2,2,5,3,2,4,4,4,3,3,4,3,2,2,2,1,4,2,"No","No",1.8,2.93,3.35,2.2,"*MISSING*","Masters","Medium","0.624"
"India",1095,21,"Female","No","ma","Student",NA,"","0",0,"Small Town","Single",0,0,2,2,3,2,2,2,1,4,2,2,2,2,4,2,2,4,2,4,3,1,2,1,2,3,2,2,2,3,2,1,3,2,3,3,4,3,2,4,2,3,3,5,5,5,5,"Yes","No",1.8,2.53,2.35,4.2,"*MISSING*","Masters","Medium","0.624"
"India",1096,23,"Male","No","ma","Student",NA,"","0",0,"Large-City","Single",0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"Yes","No",1.8,3.33,3,3,"*MISSING*","Masters","Medium","0.624"
"India",1097,23,"Male","No","ma","Student",NA,"","0",0,"*Missing*","Single",0,0,3,2,2,1,1,1,1,3,1,1,4,1,3,4,1,4,4,4,2,1,1,2,2,2,1,5,1,2,1,5,4,4,2,3,2,2,1,2,2,2,1,5,5,3,2,"No","No",1.6,2.33,2.25,3.2,"*MISSING*","Masters","Medium","0.624"
"India",1098,23,"Male","No","ma","Student",NA,"","0",0,"Large-City","Single",0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"Yes","No",1.8,3.33,3,3,"*MISSING*","Masters","Medium","0.624"
"India",1099,23,"Male","No","ma","Student",NA,"","0",0,"Large-City","Single",0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"Yes","No",1.8,3.33,3,3,"*MISSING*","Masters","Medium","0.624"
"India",1100,21,"Female","No","ma","Student",NA,"","0",0,"Rural/Country","Single",0,0,2,3,2,2,1,4,3,2,5,3,5,2,4,2,4,1,3,3,4,4,2,1,1,5,4,4,3,2,4,4,1,2,4,4,4,1,1,4,5,4,4,5,5,5,3,"Yes","No",1.8,3.07,3,4.6,"*MISSING*","Masters","Medium","0.624"
"India",1101,22,"Female","No","ma","Student",NA,"","0",0,"Village","Single",0,0,3,3,4,2,1,1,2,2,3,3,3,3,3,2,3,2,3,5,4,3,3,2,2,2,5,2,2,3,3,4,3,3,2,4,3,4,3,3,3,3,4,3,4,4,4,"No","No",2.4,2.67,2.95,3.6,"*MISSING*","Masters","Medium","0.624"
"India",1102,21,"Female","No","ma","Student",NA,"","0",0,"Small Town","Single",0,0,3,4,5,2,2,4,3,4,3,3,2,4,4,2,3,4,3,4,4,2,4,3,4,2,2,3,2,4,2,2,4,2,1,3,4,5,3,3,4,4,2,3,2,3,3,"Yes","No",2.8,3.27,2.95,2.8,"*MISSING*","Masters","Medium","0.624"
"India",1103,21,"Male","No","ma","Student",NA,"","0",0,"Village","Single",0,0,3,1,5,1,1,3,3,4,4,1,1,5,2,1,1,2,3,2,3,1,3,1,2,5,1,5,1,1,3,3,5,1,1,3,3,5,1,2,3,1,4,5,5,4,4,"No","No",2,2.4,2.5,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1104,22,"Male","No","ma","Student",NA,"","0",0,"Rural/Country","Single",0,0,2,4,2,3,3,2,3,5,3,2,4,3,3,4,2,1,4,4,3,4,4,1,3,3,3,1,4,3,2,2,5,1,2,3,3,4,2,4,4,4,2,3,4,1,4,"Yes","Yes",2.2,3.07,2.9,2.8,"*MISSING*","Masters","Medium","0.624"
"India",1105,20,"Male","No","ma","Student",NA,"","0",0,"Rural/Country","Single",0,0,4,2,4,3,3,2,2,5,1,2,4,4,4,3,3,3,3,4,2,3,4,2,2,5,2,2,3,2,4,2,3,4,2,3,2,4,4,3,5,4,3,4,2,2,1,"Yes","No",2.6,3,3.05,3,"*MISSING*","Masters","Medium","0.624"
"India",1106,23,"Male","No","ma","Student",NA,"","0",0,"Large-City","Single",0,0,4,3,2,3,3,4,3,3,4,2,4,2,4,3,2,4,4,3,2,2,3,3,4,4,2,3,4,3,2,2,4,2,4,4,3,2,2,4,2,3,2,2,4,3,2,"Yes","Yes",2.4,3.13,2.95,2.8,"*MISSING*","Masters","Medium","0.624"
"India",1107,22,"Male","No","ma","Student",NA,"","0",0,"Rural/Country","Single",0,0,3,3,4,2,4,3,2,1,2,2,3,2,3,2,2,4,3,4,3,3,4,2,2,4,2,3,3,3,3,4,3,3,2,3,4,5,2,4,5,3,4,4,4,3,3,"Yes","Yes",2.4,2.67,3.2,3.6,"*MISSING*","Masters","Medium","0.624"
"India",1108,21,"Female","No","ma","Student",NA,"","0",0,"Village","Single",0,0,2,2,4,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,3,2,3,2,2,4,4,4,5,5,"No","No",2,2.13,2.3,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1121,22,"Female","No","ma","Student",NA,"","0",0,"Village","Single",0,0,3,3,4,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,3,1,5,1,2,3,3,2,2,3,3,2,3,3,4,3,2,"Yes","No",2.6,2.4,2.5,3,"*MISSING*","Masters","Medium","0.624"
"India",1122,23,"Male","No","ma","Student",NA,"","0",0,"Small Town","Single",0,0,1,2,3,4,5,3,3,4,3,4,2,2,2,3,5,1,2,3,2,1,2,3,2,1,4,3,2,5,2,3,5,2,3,2,1,4,3,4,1,4,1,2,3,4,5,"Yes","Yes",2,2.93,2.65,2.8,"*MISSING*","Masters","Medium","0.624"
"India",1123,22,"Female","No","ma","Student",150000,"","0",4,"Small Town","Single",0,0,2,3,3,2,2,4,3,3,3,3,4,4,1,5,5,1,4,4,3,3,5,5,5,5,3,3,3,2,4,4,4,2,3,2,2,2,2,4,1,5,3,3,2,3,3,"Yes","Yes",2,3.27,3.2,3.2,"*MISSING*","Masters","Medium","0.624"
"India",1124,22,"Female","No","ma","Student",150000,"","0",4,"Small Town","Single",0,0,2,2,3,3,1,5,5,5,5,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,2,3,2,5,3,4,4,4,3,3,3,3,4,2,1,2,3,3,"Yes","Yes",2,3.53,3.3,2.4,"*MISSING*","Masters","Medium","0.624"
"India",1125,22,"Female","No","ma","Student",150000,"","0",2,"Small Town","Single",0,0,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,5,4,3,4,4,3,3,3,4,3,2,3,4,4,4,2,3,3,3,3,2,3,3,3,1,2,3,3,3,"Yes","Yes",1.8,3.13,3.15,2.4,"*MISSING*","Masters","Medium","0.624"
"India",1126,37.5,"Male","Yes","ma","Full-Time",10000,"","13",0,"Village","Married",0,2,4,3,4,3,3,1,1,2,2,3,3,4,4,2,3,2,2,3,2,4,4,4,4,1,5,2,4,4,4,3,2,4,2,2,4,2,3,5,4,4,4,4,3,4,2,"Yes","Yes",3.2,2.47,3.35,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1127,32.5,"Female","No","ma","Unemployed",10000,"","5",2,"Village","Single",0,0,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,3,2,2,2,"Yes","Yes",4,4.8,4.8,2.8,"*MISSING*","Masters","Medium","0.624"
"India",1115,22,"Female","No","ma","*Missing*",NA,"","0",0,"Large Town","Single",0,0,5,4,5,5,4,1,1,1,3,4,5,5,1,5,5,5,3,3,5,5,3,1,2,2,4,4,5,5,5,1,1,3,3,4,2,5,4,3,5,5,3,1,3,3,1,"Yes","Yes",3.8,3.4,3.35,3,"*MISSING*","Masters","Medium","0.624"
"India",1116,22,"Female","No","ma","*Missing*",NA,"","0",0,"Small Town","Single",0,0,2,3,2,4,2,3,4,3,2,1,1,2,3,2,3,4,4,5,2,3,2,3,4,5,2,5,4,3,2,3,5,1,4,3,5,2,3,5,1,5,3,3,4,5,1,"No","No",2.2,2.73,3.25,4,"*MISSING*","Masters","Medium","0.624"
"India",1117,22,"Female","No","ma","Student",NA,"",NA,0,"Rural/Country","Single",0,0,3,3,4,2,2,2,1,2,2,2,1,1,1,1,1,2,2,3,1,2,2,1,2,5,3,1,2,2,3,2,4,2,2,3,2,2,1,2,1,3,5,5,5,5,4,"Yes","No",2.4,1.6,2.2,4.6,"*MISSING*","Masters","Medium","0.624"
"India",1118,22,"Female","No","deg","Student",10000,"","0",1,"*Missing*","Single",0,0,4,3,4,2,2,2,2,3,2,2,3,3,3,2,3,4,3,4,2,3,3,4,3,2,3,1,2,3,3,3,3,4,1,3,4,4,4,2,4,3,3,4,4,4,3,"No","No",2.6,2.67,2.95,3.6,"*MISSING*","Degree","Medium","0.624"
"India",1119,21,"Female","No","ma","*Missing*",NA,"","0",0,"Village","Single",0,0,5,4,4,5,5,1,2,2,4,2,4,3,3,2,4,1,3,3,3,2,2,2,2,5,3,4,4,4,4,1,2,4,4,3,3,4,3,3,2,3,3,4,4,5,4,"Yes","Yes",3.6,2.8,3.05,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1120,23,"Male","No","ma","*Missing*",NA,"","0",0,"Rural/Country","*Missing*",0,0,3,3,4,4,4,1,3,3,2,3,3,4,3,2,3,4,3,3,2,4,5,3,1,4,2,1,5,2,2,3,3,2,2,3,2,3,2,3,5,5,3,4,4,3,3,"Yes","Yes",2.8,2.87,2.85,3.8,"*MISSING*","Masters","Medium","0.624"
"India",1134,55,"Female","Yes","phd","Full-Time",67500,"","0",0,"Small Town","Married",0,2,3,2,4,2,2,1,1,1,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,3,1,2,2,1,1,1,4,2,1,1,1,1,1,2,1,3,3,3,3,4,2,"No","No",2.6,1.6,1.45,3.2,"*MISSING*","PhD","Medium","0.624"
"India",1135,20,"Male","No","lthigh","Student",67500,"","12",2,"Village","Single",0,0,3,4,2,2,3,3,3,3,3,4,4,2,4,3,3,3,3,3,2,3,4,2,2,3,4,3,3,3,4,4,3,3,2,3,4,3,2,4,5,3,2,2,1,2,1,"Yes","Yes",2.2,3.07,3.2,2,"*MISSING*","Left High School","Medium","0.624"
"India",1131,37.5,"Female","No","ma","Full-Time",67500,"","7",0,"Village","Single",0,0,3,1,2,2,2,2,1,1,1,3,1,2,5,2,5,3,1,3,1,4,5,1,1,4,2,1,5,1,5,2,3,5,3,1,5,1,1,5,5,5,4,5,5,5,3,"Yes","No",1.6,2.2,3,4.8,"*MISSING*","Masters","Medium","0.624"
"India",1128,45,"Male","No","deg","Full-Time",87500,"","0",0,"Small Town","Single",0,0,2,4,4,1,1,1,1,1,5,1,2,4,2,1,1,5,3,5,1,1,5,1,2,1,2,1,3,2,5,1,5,5,3,1,5,4,2,3,5,2,4,4,4,4,4,"Yes","Yes",2.2,2.27,2.85,3.6,"*MISSING*","Degree","Medium","0.624"
"India",1129,21,"Female","No","ma","Student",10000,"","0",0,"Village","Single",0,0,2,3,4,2,1,1,1,3,3,1,4,4,2,5,3,3,4,3,2,1,3,1,2,1,1,2,2,1,4,4,1,3,1,4,3,4,2,2,2,2,3,5,4,4,1,"No","No",2.2,2.67,2.2,3.6,"*MISSING*","Masters","Medium","0.624"
"India",1130,32.5,"Male","Yes","ma","Full-Time",NA,"","9",0,"Village","Married",NA,0,3,4,2,3,3,3,2,2,2,4,4,4,4,2,4,1,2,4,2,3,3,2,2,2,3,2,2,2,3,1,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,"Yes","Yes",2.4,2.87,2.65,4,"*MISSING*","Masters","Medium","0.624"
"India",1132,45,"Male","Yes","deg","Part-Time",87500,"","1",2,"Village","Married",NA,0,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,1,5,1,5,5,5,5,5,4,5,5,5,1,2,1,1,1,"Yes","Yes",4,4.4,4.45,2,"*MISSING*","Degree","Medium","0.624"
"India",1133,28,"Male","No","ma","Full-Time",25000,"","1",0,"Village","Single",0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,2,2,3,4,2,"Yes","Yes",4,3.13,3.2,2.4,"*MISSING*","Masters","Medium","0.624"
"Iran",433,23,"Female","No","deg","Part-Time",NA,"","0",8,"Village","Single",0,0,3,4,4,4,4,3,5,5,4,5,4,5,4,5,5,3,4,4,5,4,4,4,2,5,4,5,3,4,5,3,5,4,3,4,5,4,4,5,4,4,2,3,2,3,3,"Yes","Yes",3,4.33,4.05,2.8,"*MISSING*","Degree","High","0.774"
"Iran",432,19,"Male","No","ltuni","Part-Time",15000,"Dish Washer","0",0,"Small City","Single",0,0,3,4,4,4,3,3,2,3,2,3,4,3,3,3,3,3,2,3,3,1,3,3,2,3,2,3,3,3,3,2,3,3,2,2,3,4,3,2,4,3,4,4,4,4,4,"Yes","No",3,2.87,2.7,3.8,"DISHWASHER","Left University","High","0.774"
"Ireland",381,45,"Male","Yes","dip","Unemployed",15000,"Disability Allowance","7",0,"Large-City","Separated",NA,1,5,4,5,4,4,5,3,5,1,5,1,4,5,5,5,2,5,4,4,4,5,1,5,5,4,4,5,4,5,4,3,4,4,5,3,4,4,5,5,5,3,3,3,3,4,"Yes","Yes",3.8,3.87,4.15,3.4,"*AMBIGUOUS*","Diploma","Very High","0.923"
"Ireland",382,67.5,"Male","Yes","high","Retired",45000,"retired","10",6,"Rural/Country","Married",NA,7,4,5,5,4,4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,4,4,1,"Yes","Yes",5,3.33,4.4,3.8,"RETIRED","High School","Very High","0.923"
"Ireland",383,28,"Male","No","deg","Full-Time",55000,"Doctor; Physician","3",0,"Large-City","Single",0,0,4,3,4,4,4,3,2,3,4,4,5,4,4,5,5,4,2,4,2,4,5,2,4,5,4,3,4,4,4,5,2,4,3,4,4,5,5,5,5,4,3,4,3,3,1,"Yes","No",3,3.67,4.05,3.4,"PHYSICIAN","Degree","Very High","0.923"
"Ireland",384,22,"Male","No","ma","Part-Time",15000,"Sales Expert","3",0,"Small City","Single",0,0,4,3,4,3,3,2,3,3,4,3,5,4,5,5,5,3,3,4,3,2,4,4,3,5,5,4,5,5,5,4,4,5,3,2,4,4,4,5,4,4,1,1,1,2,1,"Yes","No",2.8,3.67,4.05,1.8,"SALES EXPERT","Masters","Very High","0.923"
"Ireland",385,32.5,"Female","No","ma","Student",35000,"","4",0,"Village","Single",0,0,4,4,2,3,3,1,1,4,3,4,2,4,4,4,4,3,2,4,2,4,4,2,3,2,4,3,4,3,4,2,3,4,2,3,4,3,4,4,4,4,2,3,2,2,2,"Yes","Yes",2.6,3,3.3,2.6,"*MISSING*","Masters","Very High","0.923"
"Ireland",380,28,"Male","No","phd","Full-Time",35000,"Research Scientist","1",0,"Large-City","Married",0,0,3,2,3,1,1,1,1,2,1,1,5,2,3,2,2,2,1,2,1,1,2,1,1,1,3,1,3,3,3,1,1,3,3,2,3,4,2,3,4,1,5,5,5,5,5,"Yes","No",1.8,1.8,2.25,4.2,"RESEARCH SCIENTIST","PhD","Very High","0.923"
"Ireland",392,55,"Female","Yes","deg","Part-Time",25000,"","5",6,"Small Town","Married",NA,0,3,2,2,1,1,1,1,3,1,2,4,1,3,1,2,2,1,2,1,3,5,1,1,2,2,3,5,3,5,1,3,4,3,2,3,2,1,4,5,4,4,4,4,5,4,"Yes","No",1.6,1.73,2.9,4.2,"*MISSING*","Degree","Very High","0.923"
"Ireland",393,45,"Male","No","ltuni","Part-Time",55000,"","5",0,"*Missing*","Married",0,0,5,2,2,1,1,1,1,5,1,1,1,1,4,5,3,1,1,5,1,1,5,1,5,5,2,4,5,4,5,1,1,5,3,4,4,2,2,5,1,5,1,1,1,3,3,"Yes","No",2,2.13,3.25,2.2,"*MISSING*","Left University","Very High","0.923"
"Ireland",394,45,"Male","No","ma","Full-Time",150000,"","7",0,"Village","Married",0,0,2,1,2,1,1,1,1,1,1,3,2,1,2,1,2,3,1,2,1,1,2,1,2,2,2,1,1,2,3,1,1,3,1,2,3,4,2,3,3,3,3,4,3,4,4,"No","No",1.2,1.53,2,3.4,"*MISSING*","Masters","Very High","0.923"
"Ireland",395,45,"Female","Yes","deg","Full-Time",67500,"","6",0,"Village","Separated",NA,3,3,3,3,2,2,1,1,1,4,3,5,3,2,3,2,3,3,2,2,2,3,1,2,3,5,2,2,2,3,2,3,3,2,4,2,3,2,4,3,3,2,2,1,1,2,"Yes","No",2.8,2.47,2.65,1.8,"*MISSING*","Degree","Very High","0.923"
