"RowID","ï..Age","Gender","Kids","Edu","Work.Status","Annual.Income","Current.Occupation","How.long.have.you.held.this.position...Years","How.long.have.you.held.this.position...Months","Community.size","Country.of.residence","Marital.Status","Number.of.sons","Number.of.daughters","X.DP.1..I.waste.a.lot.of.time.on.trivial.matters.before.getting.to.the.final.decisions","X.DP.2..Even.after.I.make.a.decision.I.delay.acting.upon.it","X.DP.3..I.donâ..t.make.decisions.unless.I.really.have.to","X.DP.4..I.delay.making.decisions.until.itâ..s.too.late","X.DP.5..I.put.off.making.decisions.until.itâ..s.too.late","X.AIP.1..I.pay.my.bills.on.time","X.AIP.2.I.am.prompt.and.on.time.for.most.appointments.","X.AIP.3.I.lay.out.my.clothes.the.night.before.I.have.an.important.appointment..so.I.wonâ..t.be.late","X.AIP.4..I.find.myself.running.later.than.I.would.like.to.be","X.AIP.5..I.donâ..t.get.things.done.on.time","X.AIP.6..If.someone.were.teaching.a.course.on.how.to.get.things.done.on.time..I.would.attend","X.AIP.7..My.friends.and.family.think.I.wait.until.the.last.minute.","X.AIP.8..I.get.important.things.done.with.time.to.spare","X.AIP.9..I.am.not.very.good.at.meeting.deadlines","X.AIP.10..I.find.myself.running.out.of.time.","X.AIP.11..I.schedule.doctorâ..s.appointments.when.I.am.supposed.to.without.delay","X.AIP.12..I.am.more.punctual.than.most.people.I.know","X.AIP.13..I.do.routine.maintenance..e.g...changing.the.car.oil..on.things.I.own.as.often.as.I.should","X.AIP.14.When.I.have.to.be.somewhere.at.a.certain.time.my.friends.expect.me.to.run.a.bit.late","X.AIP.15.Putting.things.off.till.the.last.minute.has.cost.me.money.in.the.past","X.GP.1.I.often.find.myself.performing.tasks.that.I.had.intended.to.do.days.before","X.GP2..I.often.miss.concerts..sporting.events..or.the.like.because.I.donâ..t.get.around.to.buying.tickets.on.time","X.GP.3..When.planning.a.party..I.make.the.necessary.arrangements.well.in.advance","X.GP.4..When.it.is.time.to.get.up.in.the.morning..I.most.often.get.right.out.of.bed","X.GP.5..A.letter.may.sit.for.days.after.I.write.it.before.mailing.it.possible","X.GP.6..I.generally.return.phone.calls.promptly","X.GP.7..Even.jobs.that.require.little.else.except.sitting.down.and.doing.them..I.find.that.they.seldom.get.done.for.days","X.GP.8..I.usually.make.decisions.as.soon.as.possible","X.GP.9..I.generally.delay.before.starting.on.work.I.have.to.do","X.GP.10..When.traveling..I.usually.have.to.rush.in.preparing.to.arrive.at.the.airport.or.station.at.the.appropriate.time","X.GP.11..When.preparing.to.go.out..I.am.seldom.caught.having.to.do.something.at.the.last.minute","X.GP.12..In.preparation.for.some.deadlines..I.often.waste.time.by.doing.other.things","X.GP.13..If.a.bill.for.a.small.amount.comes..I.pay.it.right.away","X.GP.14..I.usually.return.a.â.œRSVPâ...request.very.shortly.after.receiving.it","X.GP.15..I.often.have.a.task.finished.sooner.than.necessary","X.GP.16..I.always.seem.to.end.up.shopping.for.birthday.gifts.at.the.last.minute","X.GP.17..I.usually.buy.even.an.essential.item.at.the.last.minute","X.GP.18..I.usually.accomplish.all.the.things.I.plan.to.do.in.a.day","X.GP.19..I.am.continually.saying.â.œIâ..ll.do.it.tomorrowâ..","X.GP.20..I.usually.take.care.of.all.the.tasks.I.have.to.do.before.I.settle.down.and.relax.for.the.evening","X.SWLS.1..In.most.ways.my.life.is.close.to.my.ideal","X.SWLS.2.The.conditions.of.my.life.are.excellent","X.SWLS.3..I.am.satisfied.with.my.life.","X.SWLS.4..So.far.I.have.gotten.the.important.things.I.want.in.life","X.SWLS.5..If.I.could.live.my.life.over..I.would.change.almost.nothing","Do.you.consider.yourself.a.procrastinator.","Do.others.consider.you.a.procrastinator."
627,45,"Male","Yes Kids","phd","full-time",250000,"",1.5e-19,0,"Medium-Sized","United Kingdom","Married","0",3,4,4,5,4,4,1,4,4,5,4,4,5,4,3,4,4,5,3,5,5,5,5,4,4,2,4,4,4,4,5,5,5,1,4,4,5,5,5,5,4,2,2,1,1,1,"yes","yes"
628,37.5,"Female","No Kids","deg","full-time",150000,"",10,0,"Village","United Kingdom","Single","0",0,3,4,4,3,3,1,1,3,2,2,1,2,3,2,2,1,1,4,1,1,3,2,1,1,1,2,1,4,3,1,1,3,2,3,1,3,2,1,3,1,1,2,3,1,1,"yes","no"
629,28,"Female","No Kids","ma","student",10000,"",4,0,"Village","United Kingdom","Single","0",0,5,5,4,4,4,2,2,5,2,4,2,3,4,3,4,1,3,4,2,4,4,2,2,4,1,2,4,3,4,1,2,5,4,5,3,3,3,4,4,4,3,3,3,3,2,"yes","yes"
630,28,"Female","No Kids","deg","full-time",45000,"",1,4,"Village","United Kingdom","Single","0",0,5,5,5,5,5,2,2,4,4,5,2,4,5,4,5,3,4,3,2,3,5,3,4,5,4,3,4,5,5,4,4,5,3,3,4,3,4,4,5,4,2,3,2,2,1,"yes","yes"
631,28,"Female","No Kids","deg","part-time",15000,"",3,0,"Small Town","United Kingdom","Married","0",0,3,3,2,2,2,1,1,1,3,2,3,1,5,1,3,2,2,2,2,2,3,3,2,3,4,4,2,4,2,2,3,3,2,2,2,3,2,2,2,2,4,3,4,3,2,"no","no"
632,55,"Female","No Kids","deg","part-time",10000,"",8,0,"","United Kingdom","Married","0",0,3,4,3,2,1,1,1,2,1,2,3,2,2,1,5,1,1,1,1,2,3,1,2,4,1,2,5,2,4,3,2,4,2,2,3,2,2,3,3,3,3,3,3,4,3,"yes","yes"
633,37.5,"Female","Yes Kids","ma","part-time",67500,"",4,0,"Village","United Kingdom","Single","0",1,2,1,1,1,1,5,5,5,1,1,2,1,5,1,1,5,5,4,1,2,1,1,5,4,2,4,1,5,2,1,5,1,1,1,5,4,2,2,1,5,3,3,3,4,2,"no","no"
634,37.5,"Male","No Kids","ma","full-time",67500,"",4,2,"Village","United Kingdom","Single","0",0,4,4,4,3,3,3,3,4,4,3,2,3,4,3,3,5,5,5,4,3,4,5,4,5,1,3,3,4,4,4,3,4,3,4,4,5,5,4,5,5,1,3,2,3,1,"yes","yes"
635,45,"Male","No Kids","phd","full-time",150000,"",7,0,"Large-City","United Kingdom","Married","0",0,3,2,3,2,2,2,2,5,3,3,2,3,3,2,3,4,2,3,2,2,3,3,4,5,3,3,3,3,4,2,2,3,2,4,3,3,2,4,3,3,4,4,4,4,3,"yes","no"
636,21,"Male","No Kids","deg","part-time",15000,"",3,6,"Village","United Kingdom","Single","0",0,4,1,4,3,3,1,1,3,2,2,1,2,2,3,2,4,1,3,1,4,4,3,2,5,4,1,4,4,4,1,2,4,1,1,4,2,2,3,2,4,2,3,1,1,2,"yes","no"
637,28,"Female","No Kids","ltuni","part-time",25000,"",2,4,"Village","United Kingdom","Divorced","0",0,5,4,5,3,3,1,1,5,3,4,2,4,4,1,4,3,2,2,1,5,5,2,4,5,5,4,4,3,4,2,2,4,2,4,4,5,5,4,4,2,2,1,1,2,2,"yes","yes"
638,28,"Female","No Kids","deg","full-time",45000,"",2,6,"Village","United Kingdom","Single","0",0,3,2,2,2,2,1,1,2,1,3,1,1,3,1,4,4,2,2,1,2,3,2,3,5,2,2,3,3,2,2,2,2,2,3,3,4,2,4,3,2,3,3,3,4,2,"yes","no"
639,37.5,"Female","Yes Kids","deg","part-time",25000,"",2,0,"Medium-Sized","United Kingdom","Married","Female",0,4,5,5,5,5,4,4,3,5,5,4,4,5,5,5,4,4,5,4,5,5,5,5,2,5,3,5,4,5,4,2,5,4,3,4,5,5,4,4,4,3,3,3,4,2,"yes","yes"
640,28,"Male","No Kids","deg","full-time",45000,"",5,4,"Medium-Sized","United Kingdom","Single","0",0,4,4,2,3,3,1,1,5,4,3,3,5,3,3,4,5,2,3,3,4,4,3,3,5,1,4,1,2,4,4,5,5,1,5,5,5,5,5,4,2,3,3,2,2,2,"yes","no"
641,45,"Male","Yes Kids","ma","full-time",55000,"",3,0,"Village","United Kingdom","Married","0",1,3,3,3,3,3,2,4,2,5,4,2,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,5,4,3,3,5,3,5,2,3,3,3,2,"yes","yes"
642,45,"Male","Yes Kids","deg","full-time",87500,"",1,0,"Village","United Kingdom","Married","0",1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,"yes","yes"
643,37.5,"Male","No Kids","deg","full-time",15000,"",6,5,"Large Town","United Kingdom","Single","0",0,4,5,2,4,4,1,2,4,5,4,5,4,5,4,5,2,4,5,4,3,5,3,3,5,3,3,2,4,2,4,4,4,3,4,4,5,4,5,4,5,2,2,1,1,2,"yes","yes"
644,37.5,"Male","No Kids","phd","full-time",87500,"",0,5,"Large Town","United Kingdom","Married","0",0,3,4,2,2,2,2,1,1,1,4,1,2,3,4,3,2,2,4,1,1,3,1,5,4,3,2,4,2,4,2,2,3,3,4,4,4,4,2,4,1,3,3,4,4,4,"yes","no"
645,16.5,"Female","No Kids","lthigh","student",NA,"",3,0,"","United Kingdom","Single","0",0,4,2,5,4,3,1,1,3,2,1,1,4,3,2,3,3,1,3,1,2,4,2,2,1,5,3,2,5,3,2,2,3,1,3,3,5,3,4,2,3,2,1,3,3,4,"no","yes"
646,32.5,"Female","No Kids","phd","full-time",67500,"",3,2,"Village","United Kingdom","Single","0",0,4,3,3,3,3,1,2,2,3,3,3,2,5,3,4,2,4,3,4,3,4,2,2,4,4,3,3,4,4,3,5,4,2,3,5,2,2,4,4,3,3,3,4,3,3,"yes","no"
647,28,"Female","No Kids","ltuni","full-time",55000,"",0,7,"Village","United Kingdom","Single","0",0,3,2,2,2,2,3,2,5,2,2,1,3,4,1,3,4,2,5,2,3,3,1,2,5,5,3,4,3,4,3,3,3,3,4,3,4,4,2,3,3,4,4,3,4,3,"yes","yes"
648,45,"Male","No Kids","ma","part-time",67500,"",5,0,"Village","United Kingdom","Single","0",0,4,3,2,3,3,2,2,4,5,3,5,4,3,3,4,2,5,4,3,5,4,3,5,4,4,3,4,3,4,4,4,4,4,4,3,5,5,4,4,2,3,2,2,4,1,"yes","yes"
649,25,"Male","No Kids","deg","full-time",67500,"",4,0,"Small Town","United Kingdom","Single","0",0,4,4,4,2,2,2,1,2,4,2,4,4,3,2,3,5,4,2,3,4,4,2,3,4,3,2,3,3,4,2,2,5,2,4,3,2,2,4,5,5,4,4,3,3,2,"yes","no"
650,55,"Male","Yes Kids","ltuni","unemployed",25000,"",0,6,"Small Town","United Kingdom","Separated","Male",1,4,4,4,4,4,2,2,2,4,4,3,3,4,4,5,1,2,4,4,4,4,5,1,3,3,2,4,3,3,3,4,4,2,4,3,4,4,5,4,4,1,1,1,1,1,"yes","no"
651,37.5,"Female","No Kids","deg","part-time",67500,"",3,0,"","United Kingdom","Married","0",0,3,2,3,2,2,3,3,4,4,3,2,2,4,2,3,4,5,5,5,2,2,2,2,3,3,3,3,3,2,2,5,4,3,3,3,2,2,3,2,2,4,4,4,4,4,"yes","no"
652,28,"Male","No Kids","ma","full-time",15000,"",4,0,"Village","United Kingdom","Single","0",0,4,4,4,3,3,4,3,5,5,3,1,3,4,2,2,5,3,5,4,4,5,5,2,4,5,1,4,4,4,3,5,4,5,5,3,5,5,3,4,4,2,2,2,2,1,"yes","no"
653,32.5,"Female","No Kids","deg","full-time",55000,"",1,3,"Village","United Kingdom","Separated","0",0,3,3,4,3,3,1,1,1,2,4,3,3,3,2,2,1,1,3,1,1,3,3,2,2,4,2,4,4,4,1,1,4,1,2,3,4,2,4,4,4,1,3,2,2,3,"yes","yes"
654,45,"Female","No Kids","ma","full-time",150000,"",6,0,"Village","United Kingdom","Single","0",0,3,3,4,2,2,2,3,5,5,5,3,5,3,1,3,2,4,3,5,5,4,3,2,5,5,3,4,3,4,2,4,4,2,3,3,5,5,5,5,5,4,3,3,3,1,"yes","yes"
655,23,"Female","No Kids","ltuni","student",35000,"",0,0,"Village","United Kingdom","Single","0",0,5,5,5,5,5,2,3,3,4,2,3,5,5,4,5,5,4,2,4,5,5,4,3,5,5,3,3,5,4,2,3,4,4,3,5,2,4,4,4,4,1,1,1,1,1,"yes","yes"
656,16.5,"Male","No Kids","lthigh","student",10000,"",12,0,"Medium-Sized","United Kingdom","Single","0",0,3,2,2,3,2,1,1,1,2,3,3,4,3,3,3,2,2,2,2,1,3,1,3,4,4,2,2,3,4,2,4,3,1,3,3,2,3,4,5,3,4,4,4,4,4,"yes","yes"
657,16.5,"Female","No Kids","lthigh","unemployed",NA,"",0,0,"Medium-Sized","United Kingdom","","0",0,5,4,4,4,4,3,5,2,4,5,3,5,3,5,4,5,3,5,3,3,4,1,2,5,1,3,3,4,4,1,3,4,3,3,4,1,1,4,4,5,3,3,4,3,3,"yes","no"
658,45,"Female","Yes Kids","ma","full-time",67500,"",1.5e-19,0,"Medium-Sized","United Kingdom","Married","Male",1,4,4,5,4,4,1,3,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,3,5,5,5,3,5,5,4,5,4,5,5,5,5,4,5,3,3,3,3,3,2,"yes","yes"
659,32.5,"Male","No Kids","deg","unemployed",10000,"",0,0,"Village","United Kingdom","Single","0",0,3,4,4,4,4,1,2,5,4,3,5,4,4,3,2,3,3,3,3,1,4,3,3,3,4,2,3,4,4,4,1,4,1,5,3,3,3,3,2,4,2,3,2,3,2,"yes","yes"
660,32.5,"Male","No Kids","phd","full-time",150000,"",2,7,"Small Town","United Kingdom","Single","0",0,3,3,2,2,1,1,3,5,4,4,4,3,4,3,4,3,4,2,5,2,4,1,3,2,1,4,4,2,4,2,4,4,1,4,5,3,3,4,3,3,4,4,4,5,2,"yes","no"
661,32.5,"Female","No Kids","ma","full-time",250000,"",2,2,"Village","United Kingdom","Single","0",0,4,5,5,3,3,1,1,1,3,3,4,5,3,1,4,3,2,3,2,2,5,2,2,5,4,3,4,4,5,3,4,4,3,4,3,3,4,4,4,4,3,3,4,2,1,"yes","no"
662,32.5,"Male","No Kids","ma","full-time",150000,"",1,9,"Village","United Kingdom","Married","0",0,2,3,2,2,2,2,1,2,2,3,4,4,4,2,3,2,2,3,2,4,4,1,2,4,3,3,4,3,4,2,4,4,3,1,3,2,2,3,4,4,4,3,2,4,3,"yes","no"
663,32.5,"Male","No Kids","ma","full-time",150000,"",10,0,"Small Town","United Kingdom","Married","0",0,5,5,3,4,5,2,2,5,5,3,5,5,5,5,5,4,4,4,5,5,5,5,5,3,5,2,5,5,5,5,5,5,3,4,5,5,5,4,5,4,4,4,4,5,4,"yes","yes"
664,24,"Male","No Kids","ma","full-time",67500,"",3,0,"Village","United Kingdom","Single","0",0,3,3,3,2,3,1,1,4,3,2,3,4,4,2,3,2,3,3,3,3,3,2,4,4,2,2,3,3,4,2,3,3,2,2,4,4,3,3,4,4,3,3,4,4,2,"yes","yes"
665,55,"Male","Yes Kids","ma","full-time",55000,"",10,0,"Small Town","United Kingdom","Separated","0",1,4,5,3,3,4,3,4,4,4,4,2,4,3,4,4,5,4,4,4,5,3,3,4,2,2,3,4,4,3,3,4,4,4,3,4,4,4,5,3,3,1,1,1,2,1,"yes","yes"
666,67.5,"Male","No Kids","ma","full-time",55000,"",NA,0,"Village","United Kingdom","Married","0",0,5,5,5,5,5,3,1,2,2,5,5,5,5,5,5,5,1,4,1,5,5,5,5,2,4,4,5,5,5,2,2,5,3,3,5,5,5,5,5,5,2,2,2,2,1,"yes","yes"
667,28,"Male","No Kids","phd","full-time",45000,"Research Scientist",0,3,"Large-City","Switzerland","Single","0",0,4,4,5,4,4,2,1,2,2,4,4,3,1,2,3,2,2,4,1,4,4,2,2,4,4,4,4,4,4,1,2,4,4,4,3,3,3,2,5,2,3,3,2,4,4,"yes","no"
668,32.5,"Female","No Kids","phd","full-time",150000,"writer",3,0,"Small Town","Switzerland","Married","0",0,3,2,3,2,2,1,1,3,2,3,1,3,3,1,3,3,3,2,1,2,3,2,2,2,4,2,3,3,3,2,3,3,1,2,3,4,3,3,2,2,4,4,4,3,2,"yes","no"
669,55,"Female","Yes Kids","phd","part-time",15000,"teacher",3,6,"Small Town","Switzerland","Married","Female",2,3,4,3,2,2,1,2,4,4,3,4,4,2,2,3,4,3,2,3,3,4,2,4,2,4,2,4,4,4,3,3,4,1,2,4,4,3,4,3,4,3,4,4,3,2,"yes","yes"
670,67.5,"Male","Yes Kids","ma","retired",250000,"Procrastinator",999,0,"","Switzerland","Married","Male",1,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,2,2,2,4,4,4,4,2,2,4,2,4,2,4,4,2,4,2,2,2,4,4,2,4,2,4,4,4,4,4,"yes","yes"
671,37.5,"Female","No Kids","dip","full-time",55000,"Administrator",3,2,"Medium-Sized","Switzerland","Single","0",0,3,5,4,3,3,1,2,5,3,4,5,3,5,5,5,2,4,3,3,4,5,2,2,5,4,2,4,4,5,1,4,5,2,2,4,3,2,4,4,5,2,5,3,3,1,"yes","yes"
672,28,"Female","No Kids","ma","student",25000,"please specify",0,6,"Medium-Sized","Switzerland","Single","0",0,5,3,4,3,3,2,2,3,3,5,4,5,5,5,5,5,3,4,1,4,4,1,4,4,3,2,4,3,5,3,3,5,2,3,5,5,5,5,4,5,5,5,3,3,2,"yes","yes"
673,16.5,"Male","No Kids","ltuni","student",NA,"",NA,0,"Large Town","Switzerland","Single","0",0,5,5,5,5,5,4,4,1,5,5,2,5,5,5,5,5,5,4,5,5,5,3,5,5,4,3,5,5,5,5,5,5,4,4,5,5,5,5,5,5,2,4,3,2,2,"yes","yes"
674,55,"Male","Yes Kids","phd","full-time",250000,"",1.5e-19,0,"Small Town","Switzerland","Married","Male",1,3,2,2,2,2,1,1,5,3,3,1,3,3,2,3,5,2,2,2,3,4,3,3,4,3,4,3,2,3,1,2,4,2,3,3,4,3,3,3,3,3,4,3,5,2,"yes","no"
675,37.5,"Male","No Kids","phd","full-time",150000,"",1,0,"Medium-Sized","Switzerland","Single","0",0,4,4,2,2,2,5,2,4,2,3,5,5,4,3,3,3,3,4,2,2,3,3,4,3,5,4,4,2,4,2,2,5,5,4,4,3,3,3,4,4,4,4,4,4,4,"yes","yes"
676,45,"Male","No Kids","ma","unemployed",45000,"",14,0,"Village","Switzerland","Married","0",0,3,4,4,3,3,1,1,2,3,2,3,3,3,1,3,2,2,2,3,4,3,2,2,3,4,3,3,4,3,2,4,4,1,2,2,1,1,4,3,4,1,1,1,1,2,"yes","no"
677,45,"Female","Yes Kids","dip","full-time",150000,"",3,4,"Medium-Sized","Switzerland","Separated","Male",0,2,2,2,2,2,4,1,5,1,2,1,2,3,1,1,1,1,1,1,5,5,5,3,1,5,3,1,1,1,1,1,1,5,1,3,5,3,5,5,5,3,4,3,5,3,"yes","no"
678,55,"Female","Yes Kids","ltuni","full-time",67500,"",6,0,"Small Town","Switzerland","Single","Male",0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,3,3,3,2,"no","no"
679,80,"Male","Yes Kids","phd","retired",87500,"",1.5e-19,0,"Large Town","Switzerland","Married","Male",1,4,4,4,2,2,1,1,5,2,2,1,1,3,1,2,1,3,4,1,3,3,2,2,3,3,2,4,3,4,1,4,4,2,2,3,4,4,4,4,5,3,3,4,4,5,"yes","no"
680,16.5,"Male","No Kids","phd","student",250000,"Professional Soccer Player",1,2,"Village","Bahamas","Married","0",0,1,4,2,5,4,3,3,3,2,5,2,2,2,3,1,5,4,3,4,5,4,3,4,5,2,3,4,1,4,3,4,1,4,2,3,5,1,4,3,2,5,3,2,3,5,"yes","yes"
681,55,"Female","No Kids","ma","full-time",67500,"manager",2,0,"Medium-Sized","Bahamas","Single","0",0,4,4,3,3,3,4,2,3,3,3,3,3,4,3,3,2,2,3,3,4,4,4,4,3,3,4,4,3,4,2,4,4,3,4,3,4,4,4,3,4,2,3,2,2,1,"yes","yes"
682,16.5,"Male","Yes Kids","lthigh","student",45000,"fdsdf",14,1,"Village","Bahamas","Divorced","Male",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","no"
683,28,"Male","No Kids","deg","full-time",15000,"Accountant",2,2,"Large-City","South Africa","Single","0",0,4,4,4,2,3,2,3,5,3,3,4,4,3,3,4,4,4,5,5,5,5,4,4,4,4,2,5,3,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,"yes","yes"
684,19,"Female","No Kids","lthigh","student",10000,"Pharmaceutical Merchandiser",0,7,"Small Town","South Africa","Single","0",0,5,5,4,4,4,1,1,3,1,5,5,5,4,5,5,3,3,4,1,5,5,1,2,2,4,1,4,3,5,1,1,5,1,1,4,3,3,4,5,5,2,2,2,2,4,"yes","yes"
685,37.5,"Female","No Kids","ma","full-time",NA,"Education (at a university)",5,7,"Small City","South Africa","Single","0",0,2,4,5,4,4,1,1,4,5,3,4,2,3,2,4,3,3,3,4,5,5,5,3,3,5,3,5,4,5,4,2,5,3,4,4,4,5,5,5,5,3,3,2,3,3,"yes","no"
686,45,"Male","Yes Kids","ltuni","full-time",87500,"IT Consultant",10,0,"Large-City","South Africa","Divorced","0",2,5,5,2,4,4,4,4,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,2,2,2,2,1,"yes","yes"
687,37.5,"Female","No Kids","ma","part-time",25000,"energy therapist",6,0,"Small City","South Africa","Married","0",0,3,2,1,1,1,1,1,3,1,2,3,3,2,1,2,3,1,3,1,1,3,1,3,1,2,2,2,2,3,1,2,3,1,4,2,3,2,3,3,3,5,5,4,5,4,"yes","yes"
688,28,"Female","No Kids","ma","full-time",25000,"psychologis",0,4,"Large-City","South Africa","Separated","0",0,4,2,3,1,1,1,1,2,1,1,2,3,3,1,3,4,1,4,1,4,2,2,2,1,2,2,3,3,4,2,4,4,3,4,3,5,3,2,2,3,3,3,3,3,5,"yes","yes"
689,28,"Female","No Kids","ma","full-time",NA,"psychologis",2,0,"Large-City","South Africa","Single","0",0,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,2,3,2,3,1,2,1,2,2,2,4,3,2,3,2,3,2,3,2,2,2,4,2,4,4,3,4,3,"yes","yes"
690,19,"Female","No Kids","ltuni","part-time",10000,"",0,11,"Village","South Africa","Single","0",0,4,4,4,4,4,3,4,5,4,3,1,3,4,4,4,4,4,4,5,3,3,3,4,4,3,4,4,5,5,5,5,5,3,3,4,5,4,4,3,4,3,4,3,3,3,"yes","yes"
691,45,"Female","Yes Kids","deg","full-time",10000,"",1.5e-19,0,"","South Africa","Divorced","Female",1,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,1,4,1,1,1,1,1,"yes","yes"
692,19,"Female","No Kids","deg","part-time",15000,"",0,6,"Medium-Sized","South Africa","Widowed","0",0,3,2,3,2,2,2,2,2,2,4,4,5,3,5,5,2,3,3,3,3,4,2,4,2,4,3,4,2,4,2,4,4,2,2,4,3,4,3,4,3,3,2,3,2,3,"yes","yes"
693,16.5,"Male","No Kids","lthigh","student",10000,"",NA,0,"Small Town","South Africa","Single","0",0,4,4,5,1,1,4,4,5,5,2,1,5,4,5,5,4,5,4,2,1,5,1,3,3,4,4,4,4,5,4,4,4,2,4,5,5,2,5,5,5,5,3,5,2,4,"yes","yes"
694,45,"Male","No Kids","ltuni","part-time",15000,"",10,0,"Large Town","South Africa","Single","0",0,4,5,5,4,4,2,3,4,4,5,2,5,3,5,3,4,3,3,3,3,4,3,4,3,4,3,4,4,4,4,3,4,2,2,3,4,4,5,4,3,3,2,3,3,5,"yes","yes"
695,32.5,"Male","No Kids","ltuni","full-time",87500,"",8,0,"Village","South Africa","Single","0",0,3,3,2,2,2,2,1,5,3,4,1,2,3,4,4,5,1,4,1,5,5,1,1,5,5,1,5,2,4,1,5,5,2,4,4,5,5,3,5,5,2,2,2,2,2,"yes","yes"
696,32.5,"Male","Yes Kids","ma","full-time",NA,"HR generalist",8,0,"Large-City","Poland","Married","Male",1,5,3,3,4,4,2,2,2,4,4,5,5,4,5,5,1,3,4,3,5,5,2,3,4,1,3,3,5,5,3,4,5,4,4,5,4,4,5,5,5,2,3,3,4,2,"yes","yes"
697,32.5,"Female","No Kids","phd","full-time",15000,"assistant professor",2,4,"Large-City","Poland","Single","0",0,2,3,1,2,2,2,1,3,2,3,1,1,2,1,5,2,1,2,1,3,3,1,1,2,3,2,2,2,1,2,3,2,3,3,2,4,2,2,2,2,4,4,4,4,5,"no","no"
698,21,"Male","Yes Kids","high","student",10000,"",0,0,"Village","Poland","Married","3",0,5,5,4,4,4,2,3,2,5,5,5,3,4,4,4,2,2,5,2,2,4,3,3,4,3,4,5,4,5,3,3,4,4,3,4,5,5,5,5,5,2,4,2,1,2,"yes","no"
699,28,"Male","No Kids","ma","student",15000,"",3,0,"Village","Poland","Married","0",0,5,5,4,4,4,5,2,4,5,5,5,4,5,4,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,2,2,2,3,1,"yes","yes"
700,23,"Male","No Kids","dip","student",NA,"",0,0,"Small Town","Poland","Single","0",0,5,4,2,4,4,1,4,5,4,5,5,5,5,5,5,4,4,3,4,4,5,2,4,5,3,4,4,4,4,5,4,4,4,4,5,5,4,4,4,3,3,4,4,2,4,"yes","yes"
701,45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Australia","Married","Male",3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes"
702,23,"Male","No Kids","deg","student",10000,"0",0,0,"Small Town","Australia","Single","0",0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes"
703,37.5,"Male","Yes Kids","deg","full-time",55000,"Technical Writer",7,6,"Large-City","Australia","Married","Male",1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes"
704,37.5,"Male","Yes Kids","deg","full-time",150000,"engineer",9,0,"Large-City","Australia","Married","Male",1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes"
705,45,"Female","No Kids","phd","full-time",150000,"manager",1,0,"Large-City","Australia","Married","0",0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no"
706,28,"Male","No Kids","deg","full-time",67500,"Market Analyst",1,6,"Large-City","Australia","Single","0",0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes"
707,32.5,"Female","No Kids","ma","full-time",45000,"Office Manager / Accountant",6,0,"Large-City","Australia","Single","0",0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no"
