"Age","Gender","Kids","Education","EducationAlt","WrkStatus","Income","Occupation","OccupatnAlt","YearsInPos","MnthsInPos","CommSize","Country","MaritalStat","Sons","Daughters","SelfProcrast","OthrProcrast","HDICategory","DPMean","AIPMean","GPMean","SWLSMean","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5"
23,"Male","No","ma","Masters","Student",10000,"","*MISSING*","0",7,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.4,4.13,4.4,2.8,4,5,4,4,4,4,3,4,4,4,4,5,5,4,5,5,5,5,1,5,5,5,5,3,5,4,5,3,5,4,3,5,4,4,5,3,5,5,5,5,2,2,3,2,1
67.5,"Male","Yes","ltuni","Left University","Retired",45000,"","*MISSING*","0",0,"Large Town","United Kingdom","Married",NA,0,"Yes","Yes","Very High",2.6,2.6,3.3,3.2,3,4,4,2,2,2,1,3,2,3,4,2,2,2,2,4,4,4,2,4,4,2,4,1,3,3,3,4,3,2,5,1,5,4,3,4,4,3,4,3,4,3,3,3,2
45,"Male","Yes","ma","Masters","Full-Time",250000,"","*MISSING*","6",0,"Small Town","United Kingdom","Married",NA,2,"Yes","Yes","Very High",3.6,3.73,3.75,2.8,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4
37.5,"Male","No","deg","Degree","Full-Time",45000,"","*MISSING*","3",0,"Village","United Kingdom","Divorced",0,0,"No","No","Very High",1.4,1.93,3,3.4,2,2,2,1,1,2,2,4,2,2,1,2,2,1,2,2,2,3,1,2,3,2,3,4,4,3,2,1,3,1,4,3,3,3,3,5,4,4,3,3,4,3,4,3,1
28,"Female","No","ma","Masters","Student",NA,"","*MISSING*","4",0,"Small Town","United Kingdom","*Missing*",0,0,"No","No","Very High",2,1.8,2.25,2.4,3,2,3,2,3,1,1,1,1,1,4,1,2,1,1,3,2,4,1,2,1,1,2,4,1,2,1,4,2,1,5,2,2,3,2,3,2,4,1,2,2,2,3,3,1
28,"Male","No","ma","Masters","Student",10000,"","*MISSING*","0",7,"Small Town","United Kingdom","Married",0,0,"Yes","Yes","Very High",3,3.07,3.1,2.2,4,4,4,3,3,2,2,3,3,2,2,5,4,3,3,3,4,4,3,1,4,2,3,5,1,2,4,4,4,1,3,3,3,3,5,4,3,4,3,4,2,2,2,1,2
28,"Male","No","deg","Degree","Full-Time",87500,"","*MISSING*","5",4,"Small Town","United Kingdom","Single",0,0,"Yes","Yes","Very High",2.6,2.73,3.2,2.4,4,3,3,3,3,1,1,1,3,3,4,3,3,3,4,3,4,3,2,4,4,2,3,3,3,3,3,3,4,4,3,3,3,2,4,4,2,3,4,3,3,2,2,2,2
25,"Female","No","deg","Degree","Full-Time",25000,"","*MISSING*","1",6,"Medium-Sized","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.2,4,4.35,2,4,4,4,4,4,3,2,4,4,5,4,4,4,5,5,4,4,5,3,5,5,4,4,5,3,1,5,4,5,5,4,5,5,3,5,5,5,5,4,4,2,2,1,1,1
55,"Male","Yes","deg","Degree","Part-Time",15000,"","*MISSING*","6",0,"Rural/Country","United Kingdom","Divorced",0,1,"Yes","Yes","Very High",3.2,3.47,3.6,2.6,3,4,4,4,4,5,1,3,4,4,3,3,5,3,4,5,3,4,1,4,4,1,3,2,1,4,4,3,4,4,3,4,5,4,5,5,3,4,5,4,2,2,2,3,2
32.5,"Male","No","ma","Masters","Full-Time",87500,"","*MISSING*","12",0,"Large Town","United Kingdom","Married",0,0,"Yes","Yes","Very High",3,3.4,3.7,3.2,4,4,3,4,4,1,3,3,3,5,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,3,3,3,4,1,4,4,5,4,5,4,4,2,3,3,4,1
45,"Male","No","ma","Masters","Part-Time",67500,"","*MISSING*","0",7,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",2,2.93,3,3.2,2,3,3,2,2,1,1,4,3,5,5,4,5,5,5,1,1,1,1,1,5,2,3,3,3,1,4,4,2,4,4,2,1,1,5,5,1,4,5,4,3,4,3,2,2
37.5,"Male","No","dip","Diploma","Full-Time",55000,"","*MISSING*","1",8,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",2.8,3.33,3.65,3.4,3,4,3,4,4,3,3,2,3,3,4,4,3,4,4,2,4,3,4,4,2,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3
32.5,"Female","No","deg","Degree","Part-Time",10000,"","*MISSING*","3",0,"Medium-Sized","United Kingdom","Married",0,0,"Yes","Yes","Very High",3.4,2.93,3.65,2.8,5,4,4,4,3,1,1,2,2,4,4,5,5,5,5,1,2,3,1,4,4,3,2,2,4,4,5,3,5,3,4,4,2,4,5,4,3,4,4,5,2,3,2,2,1
37.5,"Female","No","ma","Masters","Part-Time",25000,"","*MISSING*","1",7,"Small Town","United Kingdom","Single",0,0,"Yes","No","Very High",2.2,3.13,3.75,3.4,4,3,2,2,2,1,2,5,4,4,4,2,4,3,4,2,3,4,3,3,4,2,4,5,3,3,4,4,5,3,5,5,3,3,5,3,3,5,3,5,3,3,3,3,3
24,"Female","No","ma","Masters","Student",15000,"","*MISSING*","0",0,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.8,4.67,4.65,3.4,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,4,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,1,4,2
32.5,"Male","No","ltuni","Left University","Full-Time",67500,"","*MISSING*","0",8,"Medium-Sized","United Kingdom","Married",0,0,"Yes","Yes","Very High",3.6,3.93,4.35,2.4,5,5,4,4,4,3,3,3,5,5,1,5,5,5,5,3,3,5,4,4,1,4,5,5,4,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,2,2,1,2,2
37.5,"Male","No","ma","Masters","Full-Time",25000,"","*MISSING*","9",0,"Small Town","United Kingdom","Single",0,0,"Yes","*Missing*","Very High",2.2,3.13,3.45,1.8,4,4,2,1,1,1,2,5,3,4,3,3,5,5,5,2,3,4,1,3,4,2,3,5,3,2,4,3,5,4,2,5,1,3,5,4,3,5,3,5,1,1,1,1,1
32.5,"Male","No","high","High School","Full-Time",150000,"","*MISSING*","0",0,"Rural/Country","United Kingdom","Married",0,0,"No","No","Very High",1.2,1.8,2.3,3.4,2,2,1,1,1,1,1,2,3,2,1,1,2,1,2,3,2,3,2,2,3,2,2,3,1,2,2,2,2,2,2,2,2,3,2,4,3,2,3,1,4,4,4,4,3
32.5,"Female","No","ma","Masters","Full-Time",35000,"","*MISSING*","2",0,"Medium-Sized","United Kingdom","Married",0,0,"No","No","Very High",1.2,1.6,1.8,4.2,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,3,2,2,2,2,1,1,2,2,1,2,2,2,3,2,1,2,2,2,1,2,2,1,5,5,5,5,5
28,"Male","No","lthigh","Left High School","Full-Time",15000,"","*MISSING*","5",5,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",4,4.8,4.65,1.8,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,1,5,5,5,1,1,1,1,1
55,"Male","Yes","phd","PhD","Part-Time",NA,"","*MISSING*","1",0,"Village","United Kingdom","Married",0,1,"Yes","Yes","Very High",2,2.6,3.15,2.6,2,5,1,1,3,3,1,2,1,4,4,3,4,2,4,2,1,4,1,5,5,1,2,2,4,3,3,3,4,1,3,4,4,3,4,3,2,3,4,3,3,2,3,2,3
25,"Male","No","deg","Degree","Unemployed",10000,"","*MISSING*","0",0,"Medium-Sized","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.2,3.13,3.4,1.8,5,4,4,3,3,3,1,5,2,5,5,3,5,3,3,3,1,4,1,1,5,1,5,5,3,4,4,2,4,1,3,4,2,4,4,4,3,4,5,4,1,1,1,2,1
25,"Male","No","deg","Degree","Full-Time",25000,"","*MISSING*","2",0,"Large Town","United Kingdom","Single",0,0,"No","No","Very High",2,1.8,3.05,2.4,2,3,2,3,3,1,1,2,1,1,1,3,3,1,1,4,1,3,1,2,4,4,5,3,4,5,3,3,2,1,2,2,2,2,3,4,4,3,3,3,3,3,2,1,5
28,"Male","No","","*Missing*","Full-Time",15000,"","*MISSING*","5",6,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",4,4.67,4.7,1.8,5,5,5,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,1,1,1,1
32.5,"Male","No","ma","Masters","Full-Time",55000,"","*MISSING*","1",0,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.2,4,3.85,1.8,4,4,4,4,4,2,4,3,4,4,5,5,4,4,4,4,5,3,5,5,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,1,1,2,1,1
45,"Male","No","ma","Masters","Full-Time",45000,"","*MISSING*","13",0,"Large Town","United Kingdom","Single",0,0,"Yes","No","Very High",2.6,2.93,3.45,2.6,4,3,3,3,3,3,1,2,3,4,5,3,3,3,3,3,2,4,2,5,5,3,3,2,4,3,4,3,4,2,3,4,2,4,3,4,3,4,4,4,2,2,3,2,1
22,"Female","No","ltuni","Left University","Full-Time",10000,"","*MISSING*","2",0,"Medium-Sized","United Kingdom","Married",0,0,"Yes","Yes","Very High",2.6,2.8,3.6,2.8,3,4,4,2,2,1,1,3,4,3,1,5,4,3,3,4,3,3,2,2,4,4,4,4,3,3,4,3,4,3,4,5,2,3,4,4,4,4,4,3,3,3,3,2,3
45,"Male","Yes","deg","Degree","Part-Time",NA,"","*MISSING*","13",6,"Rural/Country","United Kingdom","Married",0,3,"Yes","Yes","Very High",4,2.53,3.3,2.6,4,5,4,4,4,2,2,2,3,3,2,3,3,3,3,1,2,3,2,3,4,2,3,2,4,3,4,3,4,3,4,3,2,3,3,4,3,4,5,4,2,2,2,3,2
55,"Female","Yes","ma","Masters","Full-Time",55000,"","*MISSING*","1",9,"Small Town","United Kingdom","Divorced",0,2,"No","No","Very High",2.4,1.4,2.1,2.8,3,3,3,1,1,1,1,1,3,1,2,1,1,1,2,1,1,2,2,3,2,2,2,2,2,1,1,3,3,1,3,3,4,3,1,2,2,1,1,2,3,3,3,3,2
19,"Male","No","ltuni","Left University","Student",10000,"","*MISSING*","0",0,"Rural/Country","United Kingdom","Single",0,0,"Yes","No","Very High",2.2,2.8,3.25,3,3,3,3,2,2,1,2,3,4,3,4,4,3,2,4,4,1,3,2,2,4,3,3,4,3,3,3,3,4,3,3,4,3,2,4,4,2,4,4,4,2,3,3,3,2
28,"Male","No","deg","Degree","Full-Time",NA,"","*MISSING*","0",0,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",1.2,2.33,2.75,3.8,2,1,2,1,1,1,1,3,3,3,3,2,3,3,3,3,2,3,1,2,3,1,2,3,3,2,3,2,4,2,4,4,2,2,4,4,3,2,3,4,4,4,4,3,3
67.5,"Male","No","phd","PhD","Part-Time",55000,"","*MISSING*","3",0,"*Missing*","United Kingdom","Single",0,0,"Yes","No","Very High",2.8,2.6,3.15,2.8,4,3,4,3,4,1,1,2,3,4,3,4,2,3,4,1,2,3,2,3,4,4,2,2,3,1,3,4,4,3,2,3,1,4,3,5,4,4,4,3,2,4,3,2,2
45,"Male","Yes","deg","Degree","Full-Time",67500,"","*MISSING*","0",0,"Medium-Sized","United Kingdom","Married",NA,1,"Yes","No","Very High",2.8,2.8,3.05,3.2,4,4,2,3,3,1,1,3,3,4,3,2,4,4,4,3,3,3,1,2,4,3,2,2,3,3,4,2,4,2,4,4,2,2,4,3,3,4,4,3,3,4,3,3,3
28,"Female","No","deg","Degree","Full-Time",25000,"","*MISSING*","3",7,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",2.2,1.73,2.8,2.6,2,3,4,2,2,3,1,3,1,2,1,1,1,2,2,2,1,3,1,2,3,2,3,4,2,3,2,3,3,1,3,4,4,4,3,2,3,2,3,4,2,2,3,2,2
32.5,"Male","No","deg","Degree","Full-Time",87500,"","*MISSING*","0",2,"*Missing*","United Kingdom","Married",0,0,"Yes","Yes","Very High",2.8,2,3.35,3,4,4,3,3,3,1,1,3,2,2,1,1,3,2,3,1,1,5,1,2,4,2,3,5,3,5,4,4,4,2,3,5,1,4,3,3,3,5,2,5,3,2,2,3,1
32.5,"Female","No","deg","Degree","Unemployed",15000,"","*MISSING*","0",0,"Village","United Kingdom","Single",0,0,"Yes","4","Very High",2,4.2,4.2,4.2,2,3,4,1,1,5,4,5,5,4,2,5,5,4,5,5,5,3,5,5,5,5,4,5,2,3,3,3,5,5,5,5,5,3,5,5,3,4,4,5,5,3,3,5,5
55,"Female","No","ma","Masters","Part-Time",25000,"","*MISSING*","10",0,"Medium-Sized","United Kingdom","Single",0,0,"Yes","No","Very High",1.6,2.2,2.75,4.2,3,3,1,1,1,1,1,3,3,4,3,1,3,3,4,1,1,3,1,3,4,1,1,3,3,1,3,2,4,2,3,4,1,3,3,4,3,4,3,2,5,5,4,5,4
37.5,"Female","No","deg","Degree","Full-Time",87500,"","*MISSING*","1",7,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",2,3.07,3.05,2.8,3,2,3,2,2,1,2,2,5,3,1,3,3,2,4,5,4,5,4,5,3,3,4,4,4,3,2,3,2,2,2,4,1,2,2,4,4,3,4,5,2,3,2,2,2
45,"Male","Yes","dip","Diploma","Full-Time",55000,"","*MISSING*","6",0,"Medium-Sized","United Kingdom","Divorced",NA,3,"Yes","Yes","Very High",3.6,3.07,3.05,2.4,4,4,4,3,3,2,4,4,4,3,3,3,3,3,3,2,3,2,4,4,3,2,3,3,3,3,4,3,3,3,2,3,3,4,4,2,3,3,3,2,2,2,2,4,2
55,"Female","Yes","ltuni","Left University","Full-Time",15000,"","*MISSING*","0",2,"Medium-Sized","United Kingdom","Married",NA,0,"Yes","Yes","Very High",4,4.73,4.65,1.4,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,1,1,1,1,3,2
45,"Male","Yes","deg","Degree","Full-Time",250000,"","*MISSING*","1",6,"Rural/Country","United Kingdom","Married",NA,2,"Yes","Yes","Very High",3.2,3.47,3.85,2.8,3,4,4,3,3,2,2,4,4,4,2,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4
32.5,"Male","No","ltuni","Left University","Full-Time",55000,"","*MISSING*","7",6,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",2.2,3.07,3.3,3,4,3,2,2,2,1,4,2,3,3,4,4,4,2,2,3,4,4,4,4,4,2,3,2,2,3,4,4,2,3,3,4,3,3,4,4,4,4,4,5,2,3,3,2,2
37.5,"Female","No","ma","Masters","Full-Time",150000,"","*MISSING*","3",6,"Village","United Kingdom","Married",0,0,"Yes","No","Very High",1.2,2.27,2.4,3.4,3,1,1,1,1,2,1,3,2,2,3,1,3,2,3,4,2,4,1,3,4,2,2,3,3,2,2,2,1,1,1,3,2,2,4,3,3,3,2,2,4,4,4,3,4
55,"Male","Yes","ma","Masters","Full-Time",87500,"","*MISSING*","1",0,"Large Town","United Kingdom","Married",NA,1,"No","No","Very High",2.2,1.47,1.95,3.4,3,3,2,2,1,1,1,3,1,1,1,2,1,1,2,4,1,1,1,1,2,4,2,1,2,2,3,2,2,1,1,1,1,2,2,5,2,1,2,2,4,4,3,4,2
45,"Male","No","deg","Degree","Full-Time",10000,"","*MISSING*","4",0,"Village","United Kingdom","Married",0,0,"Yes","Yes","Very High",3.6,3.4,4.1,3,4,5,4,5,5,5,1,1,3,4,2,5,5,5,5,5,1,3,1,5,5,5,3,2,3,3,4,4,5,3,2,5,5,5,4,5,4,5,5,4,3,3,2,3,3
67.5,"Male","Yes","deg","Degree","Retired",55000,"","*MISSING*","1",0,"Large Town","United Kingdom","Married",NA,3,"Yes","Yes","Very High",3.2,2.87,3.2,4,4,2,4,3,3,1,1,5,2,4,1,4,3,5,3,4,3,3,1,3,4,2,3,1,3,2,3,4,4,2,3,4,1,4,5,4,4,3,5,4,4,4,4,4,2
55,"Male","Yes","dip","Diploma","Full-Time",67500,"","*MISSING*","5",0,"Rural/Country","United Kingdom","Married",NA,1,"Yes","Yes","Very High",3.6,2.93,3.2,2,5,4,4,4,4,2,2,2,1,4,4,4,5,4,4,3,2,2,1,4,4,2,2,4,3,2,4,4,4,1,2,4,2,2,4,4,3,4,5,4,2,1,1,2,1
32.5,"Male","No","deg","Degree","Full-Time",87500,"","*MISSING*","1",0,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",2.4,2.07,2.9,2.4,3,3,4,2,1,1,1,3,3,2,1,3,3,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,4,4,2,3,2,2,3,4,3,4,3,2,3,2,3,2,4
55,"Male","No","deg","Degree","Part-Time",87500,"","*MISSING*","6",0,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",1.8,2.07,2.6,4.2,3,3,2,1,1,1,1,3,2,3,5,3,3,3,2,1,1,1,1,3,3,1,3,1,1,1,3,2,4,1,4,3,3,1,4,5,3,3,3,5,4,4,4,4,3
45,"Male","Yes","ma","Masters","Full-Time",87500,"","*MISSING*","0",0,"*Missing*","United Kingdom","Married",0,2,"Yes","Yes","Very High",4.4,2.53,3.85,1.8,5,5,5,5,5,1,1,1,2,4,4,3,3,3,3,3,2,1,2,4,4,3,3,3,4,4,5,5,5,1,3,4,3,4,4,5,5,4,4,3,1,1,1,3,1
45,"Male","No","ma","Masters","Full-Time",150000,"","*MISSING*","6",2,"Large Town","United Kingdom","Married",0,0,"No","No","Very High",1.8,1.87,2.35,4.6,3,2,2,2,2,1,2,2,3,2,1,3,2,1,2,2,2,2,1,2,3,1,3,1,2,3,2,3,2,2,3,3,1,4,3,2,2,3,2,3,5,5,5,5,4
25,"Male","No","ma","Masters","Full-Time",10000,"","*MISSING*","2",0,"Village","United Kingdom","Single",0,0,"Yes","No","Very High",3.6,3.47,3.55,1.8,4,5,4,5,4,2,5,3,4,4,1,3,4,4,4,3,4,3,4,4,4,3,2,2,5,3,3,4,3,4,4,4,2,4,4,3,3,5,5,4,2,1,1,1,2
67.5,"Female","Yes","ma","Masters","Student",55000,"","*MISSING*","5",0,"Village","United Kingdom","Divorced",0,1,"Yes","Yes","Very High",2.4,2.2,2.4,3.4,3,3,3,2,2,1,1,4,3,2,2,2,3,1,3,1,4,1,3,1,3,2,1,4,2,1,3,3,3,2,3,2,1,3,4,3,2,2,3,3,3,4,4,3,2
32.5,"Male","No","deg","Degree","Full-Time",67500,"","*MISSING*","1",0,"Medium-Sized","United Kingdom","Single",0,0,"Yes","No","Very High",2.4,2.27,1.9,2.8,4,4,1,3,3,1,1,5,4,3,5,1,2,1,2,2,1,1,2,3,4,1,1,2,1,1,3,1,3,1,1,4,1,1,3,1,1,4,1,1,3,5,3,2,5
55,"Male","Yes","ltuni","Left University","Part-Time",55000,"","*MISSING*","0",0,"*Missing*","United Kingdom","Divorced",0,2,"Yes","No","Very High",3.4,2.07,2.95,3.4,5,4,4,2,2,1,1,1,2,3,2,1,3,2,4,2,1,5,1,2,4,3,2,4,3,2,4,3,4,1,4,4,1,4,3,2,2,4,3,3,4,3,4,3,4
32.5,"Female","Yes","deg","Degree","Unemployed",10000,"","*MISSING*","1",2,"Village","United Kingdom","Married",NA,0,"Yes","Yes","Very High",2.2,2.67,2.9,3.8,3,3,3,2,3,2,2,3,2,2,2,2,5,2,3,3,3,3,3,2,4,2,2,3,4,4,4,4,3,3,2,3,2,2,4,2,2,3,3,3,4,4,4,4,4
28,"Female","No","phd","PhD","Full-Time",67500,"college professor","PROFESSOR","3",0,"Small City","United Kingdom","Single",0,0,"No","No","Very High",0.8,1,1.25,4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,5,5,5,5,5
25,"Female","No","ma","Masters","Student",15000,"0","*MISSING*","0",0,"Large Town","United Kingdom","Single",0,0,"Yes","No","Very High",2.4,2.07,2.85,2.6,3,3,3,3,3,2,1,1,3,2,2,2,1,1,3,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,4,3,3,2,2,4,3,3,4,2,2,4,2,3,1
32.5,"Female","No","ma","Masters","Student",10000,"Doctor Research","PHYSICIAN - RESEARCH","2",6,"Small City","United Kingdom","Married",0,0,"Yes","Yes","Very High",3.4,4.27,3.9,3.8,5,4,4,4,4,2,5,4,5,5,5,5,4,5,5,2,5,3,5,5,5,1,2,5,5,2,4,4,5,5,5,5,2,2,3,4,4,5,5,5,3,4,3,4,2
28,"Female","No","phd","PhD","Student",10000,"please specify","*MISSING*","2",6,"Small Town","United Kingdom","Single",0,0,"No","No","Very High",0.8,1.6,1.5,2.6,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,4,1,2,1,1,4,1,1,1,2,1,1,3,1,1,3,3,3,3,2
45,"Male","No","deg","Degree","Full-Time",150000,"Customer Service","CUSTOMER SERVICE","8",9,"Large-City","United Kingdom","Married",0,0,"Yes","Yes","Very High",3.4,4,3.6,3.2,4,4,5,4,4,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,4,5,3,3,5,3,4,2,3,3,4,2
28,"Female","No","deg","Degree","Full-Time",15000,"Receptionist","RECEPTIONIST","3",0,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.4,3.67,3.6,2,5,5,4,3,3,2,3,3,4,4,5,5,4,3,4,4,4,4,3,3,5,1,3,4,3,3,5,4,5,4,5,4,3,2,4,3,4,4,3,4,1,3,1,1,4
28,"Female","No","ma","Masters","Full-Time",15000,"cataloguer /  freelance artist","CATALOGUER /  FREELANCE ARTIST","3",0,"Large-City","United Kingdom","Single",0,0,"Yes","*Missing*","Very High",3.8,3.67,4.15,2.8,4,5,5,5,5,1,3,5,4,5,4,4,4,3,4,2,4,3,4,2,5,3,3,5,5,5,5,5,5,2,5,5,1,4,5,5,3,5,5,5,2,2,2,3,3
22,"Male","No","ltuni","Left University","Part-Time",15000,"0","*MISSING*","0",6,"Large-City","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.4,4.53,4.85,2.2,4,5,4,4,4,5,5,5,5,5,2,5,5,5,5,3,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1
55,"Female","Yes","deg","Degree","Part-Time",NA,"deputy practice manager","*AMBIGUOUS*","4",0,"Medium-Sized","United Kingdom","Divorced",NA,1,"Yes","Yes","Very High",4.2,4.07,4.6,3,5,5,5,5,5,5,1,4,4,5,5,4,5,5,4,4,3,4,3,5,5,2,5,5,5,5,5,4,5,5,3,5,4,5,5,5,4,5,5,5,2,3,2,3,2
21,"Male","No","dip","Diploma","Student",10000,"Unemployed","UNEMPLOYED","1",5,"Village","United Kingdom","Single",0,0,"Yes","Yes","Very High",4,5,4.7,1.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,1,1,1,1,1
24,"Male","No","ma","Masters","Student",10000,"please specify","*MISSING*","0",0,"Large-City","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.2,3.4,3.35,3.2,4,4,4,4,4,1,3,4,4,4,4,5,4,4,5,2,3,2,2,4,5,2,2,5,2,2,3,4,5,4,2,5,1,2,5,4,3,4,3,4,3,3,2,4,4
55,"Female","No","ma","Masters","Full-Time",35000,"Copy Writer","COPY WRITER","10",0,"Medium-Sized","United Kingdom","Divorced",0,0,"Yes","No","Very High",3,2.4,3.2,2.8,5,4,4,2,2,2,1,3,2,2,1,2,3,1,4,5,2,5,1,2,4,3,2,5,4,2,4,5,2,1,2,4,5,2,3,2,2,5,5,5,2,2,3,2,2
24,"Male","No","deg","Degree","Full-Time",55000,"Programmer","IT SOFTWARE ENGINEER","2",2,"Medium-Sized","United Kingdom","Single",0,0,"Yes","Yes","Very High",3.2,3.8,3.9,2.8,4,4,4,4,4,1,2,5,3,4,3,4,4,5,4,5,5,5,3,4,5,3,3,2,4,5,4,4,4,3,3,4,5,5,4,4,4,4,4,5,2,3,2,2,1
25,"Female","No","ma","Masters","Full-Time",35000,"Architect","ARCHITECT","0",8,"Medium-Sized","United Kingdom","Single",0,0,"Yes","No","Very High",3.2,3.53,3.85,3.6,4,4,4,4,4,3,4,4,4,4,2,2,3,3,5,3,4,4,4,4,4,2,2,4,4,3,4,4,5,3,3,5,4,4,4,5,5,4,4,4,3,4,3,4,3
32.5,"Male","No","deg","Degree","Full-Time",87500,"Analyst","ANALYST","3",2,"Large-City","United Kingdom","Single",0,0,"Yes","No","Very High",3,2.93,3.65,1.6,4,5,3,3,4,2,2,2,3,3,4,2,3,2,4,5,2,3,3,5,3,3,2,5,2,3,4,3,4,3,4,4,3,4,4,4,4,5,4,4,1,1,1,1,1
37.5,"Male","No","ltuni","Left University","Full-Time",55000,"Web Designer","WEB DESIGNER","10",0,"Large Town","United Kingdom","Single",0,0,"Yes","No","Very High",3.2,2.13,3.1,3.4,4,5,4,3,3,1,1,2,2,4,3,3,3,2,2,1,1,2,2,2,4,1,2,3,4,2,5,3,5,1,3,5,2,3,4,3,4,4,2,5,3,3,3,3,1
21,"Male","No","ltuni","Left University","Full-Time",25000,"IT Support","IT - SUPPORT ENGINEER","0",7,"Large Town","United Kingdom","Single",0,0,"Yes","Yes","Very High",1.8,2.27,3.35,2,1,4,2,2,2,1,1,2,2,3,4,3,4,2,1,2,2,4,1,2,4,4,5,1,2,2,4,4,4,2,4,4,2,5,4,1,3,5,5,5,1,2,1,1,1
32.5,"Male","No","ltuni","Left University","Full-Time",35000,"airline","*MISSING*","6",0,"Large-City","United Kingdom","Single",0,0,"Yes","No","Very High",2.2,1.93,2.95,3.6,2,4,3,2,2,1,1,2,1,4,1,2,2,2,1,2,2,4,2,3,3,1,1,1,3,3,4,2,4,3,4,3,1,4,4,4,4,3,4,4,3,5,1,5,5
55,"Female","No","deg","Degree","Part-Time",45000,"Creative Consultant","CREATIVE CONSULTANT","17",0,"Small Town","United Kingdom","Divorced",0,0,"Yes","No","Very High",3.2,3.47,3.85,3.8,5,4,3,4,4,5,1,5,3,5,5,3,4,3,3,3,2,5,1,5,5,5,2,3,3,2,5,5,1,2,3,5,5,5,5,3,4,5,4,5,4,3,3,4,2
23,"Female","No","deg","Degree","Student",10000,"please specify","*MISSING*","17",0,"Medium-Sized","United Kingdom","Single",0,0,"Yes","Yes","Very High",2,2.8,3.35,3,4,2,2,2,2,3,1,3,2,2,5,2,4,3,4,2,3,5,1,4,4,1,2,5,5,2,4,2,4,4,3,4,2,2,4,4,2,4,5,3,2,3,3,4,3
